,symbol,name,abbreviation,ts_code,area,industry,list_date
168,832000,安徽凤凰,ahfh,832000.BJ,,,20201223
169,BK0499,AH股,ahg,,,,
170,600761,安徽合力,ahhl,600761.SH,安徽,工程机械,19961009
171,600502,安徽建工,ahjg,600502.SH,安徽,建筑工程,20030415
172,603989,艾华集团,ahjt,603989.SH,湖南,元器件,20150515
173,002993,奥海科技,ahkj,002993.SZ,广东,元器件,20200817
174,688212,澳华内镜,ahnj,688212.SH,上海,医疗保健,20211115
175,688023,安恒信息,ahxx,688023.SH,浙江,软件服务,20191105
176,399284,AI 50,ai 50,,,,
177,BK1111,AIGC概念,aigcgn,,,,
178,BK1127,AI芯片,aixp,,,,
179,300155,安居宝,ajb,300155.SZ,广东,IT设备,20110107
180,002614,奥佳华,ajh,002614.SZ,福建,家用电器,20110909
181,600643,爱建集团,ajjt,600643.SH,上海,多元金融,19930426
182,688019,安集科技,ajkj,688019.SH,上海,半导体,20190722
183,688220,翱捷科技-U,ajkj,688220.SH,上海,半导体,20220114
184,002635,安洁科技,ajkj,002635.SZ,江苏,元器件,20111125
185,603696,安记食品,ajsp,603696.SH,福建,食品,20151209
186,603345,安井食品,ajsp,603345.SH,福建,食品,20170222
187,688613,奥精医疗,ajyl,688613.SH,北京,医疗保健,20210521
188,300866,安克创新,akcx,300866.SZ,湖南,元器件,20200824
189,600933,爱柯迪,akd,600933.SH,浙江,汽车配件,20171117
190,300889,爱克股份,akgf,300889.SZ,深圳,电气设备,20200916
191,300082,奥克股份,akgf,300082.SZ,辽宁,化工原料,20100520
192,603001,奥康国际,akgj,603001.SH,浙江,服饰,20120426
193,000868,安凯客车,akkc,000868.SZ,安徽,汽车整车,19970725
194,002610,爱康科技,akkj,002610.SZ,江苏,电气设备,20110815
195,688092,爱科科技,akkj,688092.SH,浙江,专用机械,20210319
196,300816,艾可蓝,akl,300816.SZ,安徽,环境保护,20200210
197,603722,阿科力,akl,603722.SH,江苏,化工原料,20171025
198,600336,澳柯玛,akm,600336.SH,山东,家用电器,20001229
199,300286,安科瑞,akr,300286.SZ,上海,电器仪表,20120113
200,300009,安科生物,aksw,300009.SZ,安徽,生物制药,20091030
201,300617,安靠智电,akzd,300617.SZ,江苏,电气设备,20170228
202,688378,奥来德,ald,688378.SH,吉林,专用机械,20200903
203,688179,阿拉丁,ald,688179.SH,上海,化学制药,20201026
204,300696,爱乐达,ald,300696.SZ,四川,航空,20170822
205,301419,阿莱德,ald,301419.SZ,上海,元器件,20230209
206,300585,奥联电子,aldz,300585.SZ,江苏,汽车配件,20161229
207,300218,安利股份,algf,300218.SZ,安徽,塑料,20110518
208,BK0689,阿里概念,algn,,,,
209,603221,爱丽家居,aljj,603221.SH,江苏,家居用品,20200323
210,600661,昂立教育,aljy,600661.SH,上海,文教休闲,19930614
211,002940,昂利康,alk,002940.SZ,浙江,化学制药,20181023
212,688329,艾隆科技,alkj,688329.SH,江苏,医疗保健,20210329
213,688107,安路科技-U,alkj,688107.SH,上海,半导体,20211112
214,301042,安联锐视,alrs,301042.SZ,广东,IT设备,20210805
215,688578,艾力斯-U,als,688578.SH,上海,化学制药,20201202
216,002668,奥马电器,amdq,002668.SZ,广东,家用电器,20120416
217,603511,爱慕股份,amgf,603511.SH,北京,服饰,20210531
218,300896,爱美客,amk,300896.SZ,北京,医疗保健,20200928
219,603529,爱玛科技,amkj,603529.SH,天津,摩托车,20210615
220,002950,奥美医疗,amyl,002950.SZ,湖北,医疗保健,20190311
221,002136,安纳达,and,002136.SZ,安徽,化工原料,20070530
222,301189,奥尼电子,andz,301189.SZ,深圳,通信设备,20211228
223,002875,安奈儿,ane,002875.SZ,深圳,服饰,20170601
224,002235,安妮股份,angf,002235.SZ,福建,造纸,20080516
225,002978,安宁股份,angf,002978.SZ,四川,小金属,20200417
226,300067,安诺其,anq,300067.SZ,上海,染料涂料,20100421
227,603363,傲农生物,answ,603363.SH,福建,饲料,20170926
228,002338,奥普光电,apgd,002338.SZ,吉林,电器仪表,20100115
229,603020,爱普股份,apgf,603020.SH,上海,食品,20150325
230,603551,奥普家居,apjj,603551.SH,浙江,家居用品,20200115
231,688293,奥浦迈,apm,688293.SH,上海,生物制药,20220902
232,688686,奥普特,apt,688686.SH,广东,电器仪表,20201231
233,300753,爱朋医疗,apyl,300753.SZ,江苏,医疗保健,20181213
234,600298,安琪酵母,aqjm,600298.SH,湖北,食品,20000818
235,002701,奥瑞金,arj,002701.SZ,北京,广告包装,20121011
236,830799,艾融软件,arrj,830799.BJ,,,20200727
237,605116,奥锐特,art,605116.SH,浙江,化学制药,20200921
238,300706,阿石创,asc,300706.SZ,福建,元器件,20170926
239,002747,埃斯顿,asd,002747.SZ,江苏,机械基件,20150320
240,002416,爱施德,asd,002416.SZ,深圳,电器连锁,20100528
241,002403,爱仕达,asd,002403.SZ,浙江,家用电器,20100511
242,002913,奥士康,ask,002913.SZ,湖南,元器件,20171201
243,300521,爱司凯,ask,300521.SZ,广东,专用机械,20160705
244,002755,奥赛康,ask,002755.SZ,北京,化学制药,20150515
245,300380,安硕信息,asxx,300380.SZ,上海,软件服务,20140128
246,002587,奥拓电子,atdz,002587.SZ,深圳,元器件,20110610
247,002239,奥特佳,atj,002239.SZ,江苏,汽车配件,20080522
248,600408,安泰集团,atjt,600408.SH,山西,焦炭加工,20030212
249,600179,安通控股,atkg,600179.SH,黑龙江,仓储物流,19981104
250,000969,安泰科技,atkj,000969.SZ,北京,小金属,20000529
251,688606,奥泰生物,atsw,688606.SH,浙江,医疗保健,20210325
252,603658,安图生物,atsw,603658.SH,河南,医疗保健,20160901
253,688516,奥特维,atw,688516.SH,江苏,专用机械,20200521
254,002227,奥特迅,atx,002227.SZ,深圳,电气设备,20080506
255,688798,艾为电子,awdz,688798.SH,上海,半导体,20210816
256,688067,爱威科技,awkj,688067.SH,湖南,医疗保健,20210616
257,002231,奥维通信,awtx,002231.SZ,辽宁,通信设备,20080512
258,600732,爱旭股份,axgf,600732.SH,上海,电气设备,19960816
259,688075,安旭生物,axsw,688075.SH,浙江,医疗保健,20211118
260,603229,奥翔药业,axyy,603229.SH,浙江,化学制药,20170509
261,300949,奥雅股份,aygf,300949.SZ,深圳,建筑工程,20210226
262,600569,安阳钢铁,aygt,600569.SH,河南,普钢,20010820
263,002172,澳洋健康,ayjk,002172.SZ,江苏,医疗保健,20070921
264,000615,奥园美谷,aymg,000615.SZ,湖北,医疗保健,19961016
265,600397,安源煤业,aymy,600397.SH,江西,煤炭开采,20020702
266,603214,爱婴室,ays,603214.SH,上海,百货,20180330
267,002667,鞍重股份,azgf,002667.SZ,辽宁,工程机械,20120329
268,BK0894,阿兹海默,azhm,,,,
269,603839,安正时尚,azss,603839.SH,浙江,服饰,20170214
270,603360,百傲化学,bahx,603360.SH,辽宁,农药化肥,20170206
271,300262,巴安水务,basw,300262.SZ,上海,水务,20110916
272,688177,百奥泰,bat,688177.SH,广东,生物制药,20200221
273,300836,佰奥智能,bazn,300836.SZ,江苏,专用机械,20200528
274,600386,北巴传媒,bbcm,600386.SH,北京,汽车服务,20010216
275,600550,保变电气,bbdq,600550.SH,河北,电气设备,20010228
276,002251,步步高,bbg,002251.SZ,湖南,超市连锁,20080619
277,002613,北玻股份,bbgf,002613.SZ,河南,专用机械,20110830
278,301181,标榜股份,bbgf,301181.SZ,江苏,汽车配件,20220221
279,300736,百邦科技,bbkj,300736.SZ,北京,通信设备,20180109
280,605338,巴比食品,bbsp,605338.SH,上海,食品,20201012
281,000582,北部湾港,bbwg,000582.SZ,广西,港口,19951102
282,300614,百川畅银,bccy,300614.SZ,河南,环境保护,20210525
283,688188,柏楚电子,bcdz,688188.SH,上海,软件服务,20190808
284,002455,百川股份,bcgf,002455.SZ,江苏,化工原料,20100803
285,300667,必创科技,bckj,300667.SZ,北京,电器仪表,20170619
286,300548,博创科技,bckj,300548.SZ,浙江,元器件,20161012
287,600681,百川能源,bcny,600681.SH,湖北,供气供热,19931018
288,601588,北辰实业,bcsy,601588.SH,北京,区域地产,20061016
289,300533,冰川网络,bcwl,300533.SZ,深圳,互联网,20160818
290,301096,百诚医药,bcyy,301096.SZ,浙江,医疗保健,20211220
291,300964,本川智能,bczn,300964.SZ,江苏,元器件,20210805
292,603858,步长制药,bczy,603858.SH,山东,中成药,20161118
293,BK0629,北斗导航,bddh,,,,
294,BK0675,病毒防治,bdfz,,,,
295,838171,邦德股份,bdgf,838171.BJ,,,20220602
296,300824,北鼎股份,bdgf,300824.SZ,深圳,家用电器,20200619
297,600130,波导股份,bdgf,600130.SH,浙江,通信设备,20000706
298,BK0845,百度概念,bdgn,,,,
299,600598,北大荒,bdh,600598.SH,黑龙江,种植业,20020329
300,603331,百达精工,bdjg,603331.SH,浙江,专用机械,20170705
301,600865,百大集团,bdjt,600865.SH,浙江,百货,19940809
302,002552,宝鼎科技,bdkj,002552.SZ,浙江,机械基件,20110225
303,605298,必得科技,bdkj,605298.SH,江苏,运输设备,20210301
304,BK1036,半导体,bdt,,,,
305,BK0917,半导体概念,bdtgn,,,,
306,002151,北斗星通,bdxt,002151.SZ,北京,通信设备,20070813
307,BK0976,被动元件,bdyj,,,,
308,000788,北大医药,bdyy,000788.SZ,重庆,化学制药,19970616
309,300558,贝达药业,bdyy,300558.SZ,浙江,化学制药,20161107
310,688073,毕得医药,bdyy,688073.SH,上海,化学制药,20221011
311,sh.000851,中证百度百发策略100指数,bf100,,,,
312,600435,北方导航,bfdh,600435.SH,北京,专用机械,20030704
313,001255,博菲电气,bfdq,001255.SZ,浙江,化工原料,20220930
314,603489,八方股份,bfgf,603489.SH,江苏,电气设备,20191111
315,600262,北方股份,bfgf,600262.SH,内蒙,专用机械,20000630
316,000065,北方国际,bfgj,000065.SZ,北京,建筑工程,19980605
317,002371,北方华创,bfhc,002371.SZ,北京,半导体,20100316
318,600989,宝丰能源,bfny,600989.SH,宁夏,化工原料,20190516
319,000737,北方铜业,bfty,000737.SZ,山西,铜,19970428
320,600111,北方稀土,bfxt,600111.SH,内蒙,小金属,19970924
321,BK0636,B股,bg,,,,
322,000761,本钢板材,bgbc,000761.SZ,辽宁,普钢,19980115
323,601968,宝钢包装,bgbz,601968.SH,上海,广告包装,20150611
324,600010,包钢股份,bggf,600010.SH,内蒙,普钢,20010309
325,600019,宝钢股份,bggf,600019.SH,上海,普钢,20001212
326,600379,宝光股份,bggf,600379.SH,陕西,电气设备,20020116
327,sh.000003,B股指数,bgzs,,,,
328,300318,博晖创新,bhcx,300318.SZ,北京,医疗保健,20120523
329,000605,渤海股份,bhgf,000605.SZ,北京,供气供热,19960913
330,603102,百合股份,bhgf,603102.SH,山东,医疗保健,20220125
331,002246,北化股份,bhgf,002246.SZ,四川,化工原料,20080605
332,300839,博汇股份,bhgf,300839.SZ,浙江,石油加工,20200630
333,601678,滨化股份,bhgf,601678.SH,山东,化工原料,20100223
334,603823,百合花,bhh,603823.SH,浙江,染料涂料,20161220
335,600800,渤海化学,bhhx,600800.SH,天津,化工原料,19931206
336,688004,博汇科技,bhkj,688004.SH,北京,软件服务,20200612
337,603167,渤海轮渡,bhld,603167.SH,山东,水运,20120906
338,000695,滨海能源,bhny,000695.SZ,天津,广告包装,19970218
339,600960,渤海汽车,bhqc,600960.SH,山东,汽车配件,20040407
340,BK0566,滨海新区,bhxq,,,,
341,600721,百花医药,bhyy,600721.SH,新疆,生物制药,19960626
342,000415,渤海租赁,bhzl,000415.SZ,新疆,多元金融,19960716
343,600966,博汇纸业,bhzy,600966.SH,山东,造纸,20040608
344,BK0896,白酒,bj,,,,
345,BK0150,北京板块,bjbk,,,,
346,600861,北京城乡,bjcx,600861.SH,北京,百货,19940520
347,BK0717,北京冬奥,bjda,,,,
348,002634,棒杰股份,bjgf,002634.SZ,浙江,服饰,20111205
349,002975,博杰股份,bjgf,002975.SZ,广东,专用机械,20200205
350,603059,倍加洁,bjj,603059.SH,江苏,日用化工,20180302
351,002244,滨江集团,bjjt,002244.SZ,浙江,区域地产,20080529
352,300223,北京君正,bjjz,300223.SZ,北京,半导体,20110531
353,300926,博俊科技,bjkj,300926.SZ,江苏,汽车配件,20210107
354,603151,邦基科技,bjkj,603151.SH,山东,饲料,20221019
355,002350,北京科锐,bjkr,002350.SZ,北京,电气设备,20100203
356,002392,北京利尔,bjle,002392.SZ,北京,其他建材,20100423
357,BK0925,北交所概念,bjsgn,,,,
358,688235,百济神州-U,bjsz,688235.SH,北京,生物制药,20211215
359,300774,倍杰特,bjt,300774.SZ,北京,环境保护,20210804
360,000802,北京文化,bjwh,000802.SZ,北京,影视音像,19980108
361,601169,北京银行,bjyh,601169.SH,北京,银行,20070919
362,300404,博济医药,bjyy,300404.SZ,广东,医疗保健,20150424
363,688160,步科股份,bkgf,688160.SH,上海,电器仪表,20201112
364,600980,北矿科技,bkkj,600980.SH,北京,矿物制品,20040512
365,002828,贝肯能源,bkny,002828.SZ,新疆,石油开采,20161208
366,688276,百克生物,bksw,688276.SH,吉林,生物制药,20210625
367,300811,铂科新材,bkxc,300811.SZ,深圳,矿物制品,20191230
368,002286,保龄宝,blb,002286.SZ,山东,食品,20090828
369,BK0546,玻璃玻纤,blbx,,,,
370,605016,百龙创园,blcy,605016.SH,山东,食品,20210421
371,688058,宝兰德,bld,688058.SH,北京,软件服务,20191101
372,300905,宝丽迪,bld,300905.SZ,江苏,染料涂料,20201105
373,601339,百隆东方,bldf,601339.SH,浙江,纺织,20120612
374,600468,百利电气,bldq,600468.SH,天津,电气设备,20010615
375,600048,保利发展,blfz,600048.SH,广东,全国地产,20060731
376,600827,百联股份,blgf,600827.SH,上海,超市连锁,19940204
377,300135,宝利国际,blgj,300135.SZ,江苏,化工原料,20101026
378,000811,冰轮环境,blhj,000811.SZ,山东,工程机械,19980528
379,301037,保立佳,blj,301037.SZ,上海,染料涂料,20210730
380,832802,保丽洁,blj,832802.BJ,,,20230206
381,603197,保隆科技,blkj,603197.SH,上海,汽车配件,20170519
382,301065,本立科技,blkj,301065.SZ,浙江,化工原料,20210914
383,603959,百利科技,blkj,603959.SH,湖南,建筑工程,20160517
384,002037,保利联合,bllh,002037.SZ,贵州,化工原料,20040908
385,603170,宝立食品,blsp,603170.SH,上海,食品,20220715
386,688333,铂力特,blt,688333.SH,陕西,机械基件,20190722
387,300246,宝莱特,blt,300246.SZ,广东,医疗保健,20110719
388,688506,百利天恒-U,blth,688506.SH,四川,化学制药,20230106
389,688345,博力威,blw,688345.SH,广东,电气设备,20210611
390,300116,保力新,blx,300116.SZ,陕西,电气设备,20100902
391,836807,奔朗新材,blxc,836807.BJ,,,20221220
392,603605,珀莱雅,bly,603605.SH,浙江,日用化工,20171115
393,300016,北陆药业,blyy,300016.SZ,北京,化学制药,20091030
394,301195,北路智控,blzk,301195.SZ,江苏,软件服务,20220801
395,603936,博敏电子,bmdz,603936.SH,广东,元器件,20151209
396,002476,宝莫股份,bmgf,002476.SZ,山东,化工原料,20100915
397,002985,北摩高科,bmgk,002985.SZ,北京,航空,20200429
398,603727,博迈科,bmk,603727.SH,天津,石油开采,20161122
399,002992,宝明科技,bmkj,002992.SZ,深圳,元器件,20200803
400,300291,百纳千成,bnqc,300291.SZ,北京,影视音像,20120209
401,001330,博纳影业,bnyy,001330.SZ,新疆,影视音像,20220818
402,301080,百普赛斯,bpss,301080.SZ,北京,生物制药,20211018
403,600733,北汽蓝谷,bqlg,600733.SH,北京,汽车整车,19960816
404,688793,倍轻松,bqs,688793.SH,深圳,家用电器,20210715
405,605376,博迁新材,bqxc,605376.SH,江苏,小金属,20201208
406,600880,博瑞传播,brcb,600880.SH,四川,广告包装,19951115
407,002568,百润股份,brgf,002568.SZ,上海,红黄酒,20110325
408,000710,贝瑞基因,brjy,000710.SZ,四川,医疗保健,19970422
409,688229,博睿数据,brsj,688229.SH,北京,软件服务,20200817
410,688198,佰仁医疗,bryl,688198.SH,北京,医疗保健,20191209
411,688166,博瑞医药,bryy,688166.SH,江苏,化学制药,20191108
412,300822,贝仕达克,bsdk,300822.SZ,深圳,元器件,20200313
413,300402,宝色股份,bsgf,300402.SZ,江苏,专用机械,20141010
414,600973,宝胜股份,bsgf,600973.SH,江苏,电气设备,20040802
415,300441,鲍斯股份,bsgf,300441.SZ,浙江,机床制造,20150423
416,002698,博实股份,bsgf,002698.SZ,黑龙江,化工机械,20120911
417,002282,博深股份,bsgf,002282.SZ,河北,机械基件,20090821
418,300422,博世科,bsk,300422.SZ,广西,环境保护,20150217
419,300951,博硕科技,bskj,300951.SZ,深圳,元器件,20210226
420,600794,保税科技,bskj,600794.SH,江苏,仓储物流,19970306
421,000530,冰山冷热,bslr,000530.SZ,辽宁,机械基件,19931208
422,300796,贝斯美,bsm,300796.SZ,浙江,农药化肥,20191115
423,300525,博思软件,bsrj,300525.SZ,福建,软件服务,20160726
424,300580,贝斯特,bst,300580.SZ,江苏,汽车配件,20170111
425,300070,碧水源,bsy,300070.SZ,北京,环境保护,20100421
426,300622,博士眼镜,bsyj,300622.SZ,深圳,其他商业,20170315
427,301083,百胜智能,bszn,301083.SZ,江西,专用机械,20211021
428,600455,博通股份,btgf,600455.SH,陕西,文教休闲,20040329
429,002170,芭田股份,btgf,002170.SZ,深圳,农药化肥,20070919
430,600456,宝钛股份,btgf,600456.SH,陕西,小金属,20020412
431,300363,博腾股份,btgf,300363.SZ,重庆,化学制药,20140129
432,603068,博通集成,btjc,603068.SH,上海,半导体,20190415
433,603009,北特科技,btkj,603009.SH,上海,汽车配件,20140718
434,300031,宝通科技,btkj,300031.SZ,江苏,互联网,20091225
435,603596,伯特利,btl,603596.SH,安徽,汽车配件,20180427
436,601011,宝泰隆,btl,601011.SH,黑龙江,焦炭加工,20110309
437,300957,贝泰妮,btn,300957.SZ,云南,日用化工,20210325
438,835185,贝特瑞,btr,835185.BJ,,,20200727
439,688767,博拓生物,btsw,688767.SH,浙江,医疗保健,20210908
440,000595,宝塔实业,btsy,000595.SZ,宁夏,机械基件,19960419
441,688525,佰维存储,bwcc,688525.SH,深圳,IT设备,20221230
442,601137,博威合金,bwhj,601137.SH,浙江,小金属,20110127
443,002148,北纬科技,bwkj,002148.SZ,北京,互联网,20070810
444,600883,博闻科技,bwkj,600883.SH,云南,种植业,19951208
445,BK0474,保险,bx,,,,
446,600083,博信股份,bxgf,600083.SH,江苏,综合类,19970606
447,000786,北新建材,bxjc,000786.SZ,北京,其他建材,19970606
448,002514,宝馨科技,bxkj,002514.SZ,江苏,机械基件,20101203
449,833075,柏星龙,bxl,833075.BJ,,,20221214
450,002307,北新路桥,bxlq,002307.SZ,新疆,建筑工程,20091111
451,002154,报喜鸟,bxn,002154.SZ,浙江,服饰,20070816
452,000690,宝新能源,bxny,000690.SZ,广东,火力发电,19970128
453,600845,宝信软件,bxrj,600845.SH,上海,软件服务,19940311
454,300352,北信源,bxy,300352.SZ,北京,软件服务,20120912
455,399809,中证方正富邦保险主题指数,bxzt,,,,
456,002594,比亚迪,byd,002594.SZ,深圳,汽车整车,20110630
457,603861,白云电器,bydq,603861.SH,广东,电气设备,20160322
458,BK1059,百元股,byg,,,,
459,003006,百亚股份,bygf,003006.SZ,重庆,造纸,20200921
460,603215,比依股份,bygf,603215.SH,浙江,家用电器,20220218
461,002696,百洋股份,bygf,002696.SZ,广西,饲料,20120905
462,002047,宝鹰股份,bygf,002047.SZ,深圳,装修装饰,20050531
463,600581,八一钢铁,bygt,600581.SH,新疆,普钢,20020816
464,600004,白云机场,byjc,600004.SH,广东,机场,20030428
465,300971,博亚精工,byjg,300971.SZ,湖北,机械基件,20210415
466,BK0860,边缘计算,byjs,,,,
467,688132,邦彦技术,byjs,688132.SH,深圳,通信设备,20220923
468,601568,北元集团,byjt,601568.SH,陕西,化工原料,20201020
469,870199,倍益康,byk,870199.BJ,,,20221201
470,836675,秉扬科技,bykj,836675.BJ,,,20201228
471,002649,博彦科技,bykj,002649.SZ,北京,软件服务,20120106
472,002832,比音勒芬,bylf,002832.SZ,广东,服饰,20161223
473,002570,贝因美,bym,002570.SZ,浙江,乳制品,20110412
474,600332,白云山,bys,600332.SH,广东,中成药,20010206
475,688181,八亿时空,bysk,688181.SH,北京,半导体,20200106
